77498638825172992,132.38, ,
77557305809313792,255.39, ,
159981115413626880,47.60, ,
128283945203662848,660.47, ,
62753946581598208,0, ,
97391623519866880,0, ,
206989845204172800,0, ,
147309825296957440,21.84, ,
154455178148315137,34.91, ,
1048693844750901359,242.85, ,
244653523894009856,1.62, ,
483750276977917983,360.67, ,
204693982486331393,63.75, ,
338513382351306753,0, ,
273598092526485505,0, ,
1018544581735890994,0, ,
154273391400976384,2.44, ,
77507555969994752,71.93, ,
1166520223667605614,4.32, ,
172885302665281536,0, ,
160892016325165056,0, ,
412347257233604609,0, ,
151347084602245120,0, ,
